1291878,不良教育 La mala educación,2004,8.3,26150,剧情/悬疑/惊悚/同性/犯罪,西班牙
1291879,罗生门 羅生門,1950,8.7,159359,剧情/悬疑/犯罪,日本
1291936,攻壳机动队 攻殻機動隊,1995,8.9,74751,动作/科幻/动画,日本
1291937,关于我母亲的一切 Todo sobre mi madre,1999,8.5,39001,剧情,西班牙/法国
1291976,狗脸的岁月 Mitt liv som hund,1985,8.5,12513,剧情/喜剧,瑞典
1291989,原始星球 La planète sauvage,1973,8.6,9370,科幻/动画,法国/捷克斯洛伐克
1291990,爱在日落黄昏时 Before Sunset,2004,8.8,253778,剧情/爱情,美国
1291991,谁来为卡夫卡塑像 Pupendo,2003,7,45,剧情/喜剧/家庭,捷克
1291992,末路狂花 Thelma & Louise,1991,8.7,126479,剧情/惊悚/犯罪,美国/法国
1291999,重庆森林 重慶森林,1994,8.7,426352,剧情/爱情,香港
1292000,搏击俱乐部 Fight Club,1999,9,499678,剧情/动作/悬疑/惊悚,美国/德国
1292001,海上钢琴师 La leggenda del pianista sull'oceano,1998,9.2,783399,剧情/音乐,意大利
1292047,蓝白红三部曲之红 Trois couleurs: Rouge,1994,8.7,67771,剧情/爱情/悬疑,法国/波兰/瑞士
1292048,蓝白红三部曲之蓝 Trois couleurs: Bleu,1993,8.5,77735,剧情/爱情/音乐,法国/波兰/瑞士
1292049,蓝白红三部曲之白 Trois couleurs: Blanc,1994,8.4,60254,剧情/喜剧/爱情/悬疑,法国/波兰/瑞士
1292050,洛基恐怖秀 The Rocky Horror Picture Show,1975,8,16406,喜剧/歌舞,英国/美国
1292052,肖申克的救赎 The Shawshank Redemption,1994,9.6,1328693,剧情/犯罪,美国
1292055,再见列宁 Good Bye Lenin!,2003,8.7,61078,剧情/喜剧,德国
1292056,蝴蝶 Le papillon,2002,8.6,99499,剧情/喜剧/儿童,法国
1292060,米勒的十字路口 Miller's Crossing,1990,7.9,7452,剧情/惊悚/犯罪,美国
1292061,玩命911 Intermission,2003,7.2,306,剧情/喜剧/惊悚/犯罪,爱尔兰/英国
1292062,美国丽人 American Beauty,1999,8.5,220552,剧情/爱情/家庭,美国
1292063,美丽人生 La vita è bella,1997,9.5,612328,剧情/喜剧/爱情/战争,意大利
1292064,楚门的世界 The Truman Show,1998,9.2,717830,剧情/科幻,美国
1292065,疤面煞星 Scarface,1983,8.3,39024,剧情/惊悚/犯罪,美国
1292067,冰血暴 Fargo,1996,7.9,52316,剧情/惊悚/犯罪,美国/英国
1292206,地下 Подзем?е,1995,9.1,30220,剧情/战争,法国/南斯拉夫联盟共和国/德国
1292207,铁皮鼓 Die Blechtrommel,1979,8.3,36211,剧情/历史/战争,西德/波兰/法国/南斯拉夫
1292208,上帝之城 Cidade de Deus,2002,8.9,186861,剧情/犯罪,巴西/法国
1292210,雷恩的女儿 Ryan's Daughter,1970,8.3,593,剧情/爱情,英国
1292211,对她说 Hable con ella,2002,8.6,59387,剧情,西班牙
1292212,天使之城 City of Angels,1998,7.9,125740,剧情/爱情/奇幻,美国/德国
1292213,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,1995,9.2,730731,喜剧/爱情/奇幻/冒险,香港/中国大陆
1292214,非常嫌疑犯 The Usual Suspects,1995,8.6,147451,剧情/悬疑/惊悚/犯罪,德国/美国
1292215,天使爱美丽 Le fabuleux destin d'Amélie Poulain,2001,8.7,605910,喜剧/爱情,法国/德国
1292216,爱情是狗娘 Amores perros,2000,8.2,37186,剧情/惊悚,墨西哥
1292217,穆赫兰道 Mulholland Dr.,2001,8.3,274378,剧情/悬疑/惊悚,法国/美国
1292218,中央车站 Central do Brasil,1998,8.7,79045,剧情,巴西/法国
1292219,关于莉莉周的一切 リリイ·シュシュのすべて,2001,7.8,135504,剧情,日本
1292220,情书 Love Letter,1995,8.9,495631,剧情/爱情,日本
1292222,出租车司机 Taxi Driver,1976,8.4,120224,剧情/犯罪,美国
1292223,七宗罪 Se7en,1995,8.8,544924,剧情/悬疑/惊悚/犯罪,美国
1292224,飞越疯人院 One Flew Over the Cuckoo's Nest,1975,9.1,345370,剧情,美国
1292225,闪灵 The Shining,1980,8.1,204041,剧情/悬疑/恐怖,英国/美国
1292226,2001太空漫游 2001: A Space Odyssey,1968,8.7,127552,科幻/惊悚/冒险,英国/美国
1292228,不准掉头 U Turn,1997,8,10479,剧情/惊悚/犯罪,法国/美国
1292229,天生杀人狂 Natural Born Killers,1994,8,83284,剧情/动作/爱情/惊悚/犯罪,美国
1292230,刺杀肯尼迪 JFK,1991,8.8,20357,剧情/悬疑/惊悚/传记/历史,美国/法国
1292233,发条橙 A Clockwork Orange,1971,8.5,219442,剧情/科幻/犯罪,英国/美国
1292234,漫长的婚约 Un long dimanche de fian?ailles,2004,8.1,53616,剧情/爱情/悬疑/战争,法国/美国
1292238,甘地传 Gandhi,1982,8.6,23333,剧情/传记/历史,英国/印度/美国
1292260,现代启示录 Apocalypse Now,1979,8.4,58513,剧情/战争,美国
1292262,美国往事 Once Upon a Time in America,1984,9.1,225634,剧情/犯罪,意大利/美国
1292264,逃狱三王 O Brother  Where Art Thou?,2000,7.9,36511,喜剧/犯罪/冒险,英国/法国/美国
1292267,银河系漫游指南 The Hitchhiker's Guide to the Galaxy,2005,8.1,84607,喜剧/科幻/冒险,美国/英国
1292268,好家伙 Goodfellas,1990,8.3,62216,剧情/传记/犯罪,美国
1292269,骗中骗 The Sting,1973,8.7,30537,剧情/喜剧/犯罪,美国
1292270,梦之安魂曲 Requiem for a Dream,2000,8.7,134181,剧情,美国
